param,context_id,Median,Lower_95,Upper_95,Prob_Greater_Zero
beta,1,0.009267007399999999,-0.953933319,0.8944349925000006,0.508
beta_slope,1,0.055097901500000004,-0.944481598,1.0050576200000003,0.5415
kappa,1,51.194701499999994,50.365463475000006,52.1244823,1
phi,1,0.31461349,-0.7532757252499999,1.4357530775000003,0.7085
side,1,-6.2610524000000005,-6.3700069500000005,-6.1450216025,0
beta,2,-0.0221340105,-0.9785967419999999,0.9355764125,0.48175
beta_slope,2,0.0271880815,-0.92310815425,0.9121310435000003,0.5205
kappa,2,4.6093887,4.406952175,4.7970890525,1
phi,2,1.0161227,-0.049293251549999986,1.8692711550000003,0.969
side,2,-2.68240435,-2.7882577,-2.5716163825,0
beta,3,-0.002716473,-0.935953379,0.9047060077500001,0.4975
beta_slope,3,6.8925889e-4,-1.002547005,1.0004370300000003,0.501
kappa,3,-1.3903609499999998,-1.4637762374999999,-1.32629543,0
phi,3,0.884544775,0.19572666400000002,1.6302042575000002,0.995
side,3,1.1568279000000001,1.1197630475,1.19533087,1
