"tau","Uncertainty_Mean","Uncertainty_SE","Uncertainty_CILow","Uncertainty_CIHigh","State_Norm_Mean","State_Norm_SE","State_Norm_CILow","State_Norm_CIHigh","Phi2_Mean","Phi2_SE","Phi2_CILow","Phi2_CIHigh","Value_Mean","Value_SE","Value_CILow","Value_CIHigh"
-5,0.627333680515939,0.0108328074729703,0.606101377868917,0.648565983162961,1.50017670890041,0.0100541592115109,1.48047055684585,1.51988286095497,0.394634728721292,0.00691734564303794,0.381076731260938,0.408192726181646,0.338010998528793,0.00688461992451702,0.32451714347674,0.351504853580846
-4,0.613430909206983,0.010722951405583,0.59241392445204,0.634447893961925,1.4931013567862,0.0094128962846922,1.47465208006821,1.5115506335042,0.385698854001473,0.00674927514093487,0.372470274725241,0.398927433277705,0.334644524149992,0.00667530804229811,0.321560920387088,0.347728127912897
-3,0.619093293046375,0.010856465304124,0.597814621050292,0.640371965042458,1.49537652467745,0.00974193963737469,1.4762823229882,1.51447072636671,0.390210239092092,0.00691970042177537,0.376647626265412,0.403772851918772,0.339984980675547,0.00686514066389719,0.326529304974309,0.353440656376786
-2,0.606007876145234,0.0109382593522442,0.584568887814835,0.627446864475632,1.4950936695256,0.00978494163661383,1.47591518391784,1.51427215513336,0.382686660927097,0.00702916954019353,0.368909488628317,0.396463833225876,0.347171558498948,0.00683669449118938,0.333771637296216,0.360571479701679
-1,0.608005274991234,0.0107489546320385,0.586937323912439,0.629073226070029,1.49010942741775,0.00942572001132986,1.47163501619554,1.50858383863996,0.38467907360458,0.00691176342078304,0.371132017299846,0.398226129909315,0.349615337764201,0.00694135873967714,0.336010274634434,0.363220400893968
0,0.62563022810897,0.0107535329169938,0.604553303591662,0.646707152626277,1.48384745932019,0.00916546835928655,1.46588314133598,1.50181177730439,0.398495866684631,0.00695573216457171,0.384862631642071,0.412129101727192,0.342555177360362,0.00687981958636021,0.329070730971096,0.356039623749628
1,0.650172624245016,0.0105454688505437,0.629503505297951,0.670841743192082,1.49657475925645,0.00930040843284384,1.47834595872808,1.51480355978483,0.409304416254514,0.00675304916308822,0.396068439894861,0.422540392614167,0.324236750728236,0.00694274487543096,0.310628970772391,0.337844530684081
2,0.645100198009178,0.0106352572972655,0.624255093706538,0.665945302311819,1.49379509265444,0.00913940691877811,1.47588185509363,1.51170833021524,0.405644574145599,0.00671897530850785,0.392475382540924,0.418813765750274,0.319866665391124,0.006890524708565,0.306361236962336,0.333372093819911
3,0.635456489161917,0.0107320278326955,0.614421714609834,0.656491263714,1.49536036693796,0.009626013408334,1.47649338065763,1.5142273532183,0.39804451719987,0.00674885312800972,0.384816765068971,0.411272269330769,0.333993578728758,0.00679069762518519,0.320683811383395,0.347303346074121
4,0.599249587593124,0.0109425837122351,0.577802123517143,0.620697051669105,1.47975369401109,0.00937450952162516,1.4613796553487,1.49812773267347,0.38209777557171,0.00702965504272913,0.368319651687961,0.39587589945546,0.343130527199302,0.00678299626024419,0.329835854529224,0.356425199869381
5,0.618131908319587,0.0108821156291446,0.596802961686463,0.63946085495271,1.48783991799266,0.00964225394262913,1.46894110026511,1.50673873572022,0.390515817587953,0.00691381507234055,0.376964740046165,0.40406689512974,0.336789910432602,0.00681778413467008,0.323427053528649,0.350152767336556
