nt,buena,Bd1,Bd2,Resp,F,prob,ttp,ttr,ttF,participant_id
1,1,2,7,2,1,0.15,5799,6529,8849,ACMO_06011994
2,1,4,3,1,0,0.15,12549,13473,15965,ACMO_06011994
3,1,2,8,2,1,0.15,19882,20449,22432,ACMO_06011994
4,1,8,4,2,1,0.15,25582,27329,29848,ACMO_06011994
5,1,2,8,2,1,0.15,33765,34977,36865,ACMO_06011994
6,1,6,2,1,0,0.15,40764,41617,43798,ACMO_06011994
7,1,6,4,2,1,0.15,47664,48913,51247,ACMO_06011994
8,1,8,3,2,1,0.15,54980,55745,57580,ACMO_06011994
9,1,8,5,2,1,0.15,61230,61745,63947,ACMO_06011994
10,1,4,3,2,1,0.15,67847,68625,70380,ACMO_06011994
11,1,5,6,2,1,0.15,73446,74305,75946,ACMO_06011994
12,1,6,8,2,1,0.15,79046,79361,81496,ACMO_06011994
13,1,7,3,2,0,0.15,84896,85329,86979,ACMO_06011994
14,1,4,8,1,1,0.15,90762,91233,92912,ACMO_06011994
15,1,4,3,1,0,0.15,96162,96737,99245,ACMO_06011994
16,1,8,4,2,0,0.15,102762,103633,106145,ACMO_06011994
17,1,5,4,2,1,0.15,109645,110097,112245,ACMO_06011994
18,0,6,2,1,1,0.85,115978,116544,118294,ACMO_06011994
19,0,6,2,2,0,0.85,121678,122320,124477,ACMO_06011994
20,0,8,7,2,0,0.85,127727,128112,130627,ACMO_06011994
21,0,2,6,1,1,0.85,134227,134624,136377,ACMO_06011994
22,0,6,3,1,0,0.85,140243,140640,142677,ACMO_06011994
23,0,6,3,1,1,0.85,146210,146688,148610,ACMO_06011994
24,0,7,5,2,0,0.85,151826,152288,154676,ACMO_06011994
25,0,6,8,1,1,0.85,157793,158512,160309,ACMO_06011994
26,0,6,7,1,1,0.85,164059,164320,166042,ACMO_06011994
27,0,7,8,1,1,0.85,169159,169616,171809,ACMO_06011994
28,0,7,6,1,0,0.85,175009,175536,177192,ACMO_06011994
29,0,8,6,2,0,0.85,181142,181760,183842,ACMO_06011994
30,0,5,3,1,1,0.75,195641,198960,201124,ACMO_06011994
31,0,7,8,1,0,0.75,205007,205760,207690,ACMO_06011994
32,0,7,6,2,0,0.75,211490,212880,215373,ACMO_06011994
33,0,3,8,1,1,0.75,218423,219776,222207,ACMO_06011994
34,0,3,2,1,1,0.75,225823,226592,228823,ACMO_06011994
35,0,2,5,1,1,0.75,232523,233360,234956,ACMO_06011994
36,0,7,6,1,0,0.75,238172,239071,241322,ACMO_06011994
37,0,6,8,2,0,0.75,244672,245279,246822,ACMO_06011994
38,0,2,6,2,0,0.75,250655,251407,253555,ACMO_06011994
39,0,8,6,1,1,0.75,257438,257423,259688,ACMO_06011994
40,0,4,7,1,0,0.75,263221,266319,267971,ACMO_06011994
41,0,8,5,1,1,0.75,271071,273439,275588,ACMO_06011994
42,0,7,7,1,1,0.75,279187,280879,282704,ACMO_06011994
43,0,5,2,2,0,0.75,286687,287407,289137,ACMO_06011994
44,0,3,3,1,1,0.75,292820,293311,295070,ACMO_06011994
45,0,6,6,1,1,0.75,298403,299183,301503,ACMO_06011994
46,0,3,5,1,1,0.75,304736,305615,307236,ACMO_06011994
47,1,2,6,1,0,0.25,310503,311295,313453,ACMO_06011994
48,1,8,7,2,0,0.25,316969,317567,319169,ACMO_06011994
49,1,6,7,1,0,0.25,322285,322639,324185,ACMO_06011994
50,1,8,8,2,1,0.25,327885,328623,330785,ACMO_06011994
51,1,3,3,1,0,0.25,334768,336943,338768,ACMO_06011994
52,1,5,8,2,1,0.25,342785,343439,345718,ACMO_06011994
