=== GRAND PHYLOGENY NLL SWEEP ===
Null Hypothesis (H0): Baseline Wald Architecture

       Candidate  Metric Mean_Baseline Mean_Candidate     Mean_Diff
    Baseline DDM  PR_AUC   0.512196942     0.51524963  3.052691e-03
    Baseline DDM ROC_AUC   0.488740477     0.50652522  1.778475e-02
    Baseline DDM   Brier  24.173671676  1755.43610614  1.731262e+03
     Context DDM  PR_AUC   0.512196942     0.51109905 -1.097888e-03
     Context DDM ROC_AUC   0.488740477     0.50513254  1.639206e-02
     Context DDM     MCC  -0.015009624     0.02825564  4.326526e-02
     Context DDM   Brier  24.173671676     0.68314570 -2.349053e+01
  ECCM Reservoir  PR_AUC   0.512196942     0.53123749  1.904055e-02
  ECCM Reservoir ROC_AUC   0.488740477     0.47997339 -8.767091e-03
  ECCM Reservoir     MCC   0.009979538    -0.08447856 -9.445810e-02
  ECCM Reservoir   Brier  24.173671676   570.17281701  5.459991e+02
     Q-Perturbed  PR_AUC   0.512196942     0.63651314  1.243162e-01
     Q-Perturbed ROC_AUC   0.488740477     0.48434452 -4.395961e-03
     Q-Perturbed   Brier  24.173671676   224.33489512  2.001612e+02
 Terminal Hybrid  PR_AUC   0.512196942     0.60354474  9.134780e-02
 Terminal Hybrid ROC_AUC   0.488740477     0.50125924  1.251877e-02
 Terminal Hybrid   Brier  24.173671676  1408.21513521  1.384041e+03
      P_Value    Cohens_D
 2.386478e-01  0.02875681
 2.405483e-01  0.12133580
 2.623948e-18  0.22095786
 4.881648e-01 -0.01012002
 3.469313e-01  0.11082801
 5.566406e-01  0.27661294
 3.649162e-12 -0.29121470
 3.420762e-01  0.14607327
 4.332746e-01 -0.05061576
 1.834306e-01 -0.37773499
 1.016667e-17  0.68596816
 1.850368e-13  0.80810793
 4.099231e-01 -0.02293700
 1.053669e-02  0.13285493
 2.812234e-07  0.50851045
 6.200043e-01  0.06194687
 7.395588e-05  0.19454499
