Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	Control_1 Spectral Count	Control_2 Spectral Count	Control_3 Spectral Count	Control_4 Spectral Count	Control_5 Spectral Count	Tratamiento_1 Spectral Count	Tratamiento_2 Spectral Count	Tratamiento_3 Spectral Count	Tratamiento_4 Spectral Count	Tratamiento_5 Spectral Count	Control_1 Unique Spectral Count	Control_2 Unique Spectral Count	Control_3 Unique Spectral Count	Control_4 Unique Spectral Count	Control_5 Unique Spectral Count	Tratamiento_1 Unique Spectral Count	Tratamiento_2 Unique Spectral Count	Tratamiento_3 Unique Spectral Count	Tratamiento_4 Unique Spectral Count	Tratamiento_5 Unique Spectral Count	Control_1 Total Spectral Count	Control_2 Total Spectral Count	Control_3 Total Spectral Count	Control_4 Total Spectral Count	Control_5 Total Spectral Count	Tratamiento_1 Total Spectral Count	Tratamiento_2 Total Spectral Count	Tratamiento_3 Total Spectral Count	Tratamiento_4 Total Spectral Count	Tratamiento_5 Total Spectral Count	Control_1 Intensity	Control_2 Intensity	Control_3 Intensity	Control_4 Intensity	Control_5 Intensity	Tratamiento_1 Intensity	Tratamiento_2 Intensity	Tratamiento_3 Intensity	Tratamiento_4 Intensity	Tratamiento_5 Intensity	Control_1 MaxLFQ Intensity	Control_2 MaxLFQ Intensity	Control_3 MaxLFQ Intensity	Control_4 MaxLFQ Intensity	Control_5 MaxLFQ Intensity	Tratamiento_1 MaxLFQ Intensity	Tratamiento_2 MaxLFQ Intensity	Tratamiento_3 MaxLFQ Intensity	Tratamiento_4 MaxLFQ Intensity	Tratamiento_5 MaxLFQ Intensity	Indistinguishable Proteins
sp|A0A1B0GTW7|CIROP_HUMAN	A0A1B0GTW7	CIROP_HUMAN	CIROP	788	Homo sapiens	1:Experimental evidence at protein level	Ciliated left-right organizer metallopeptidase	0.9955	0.9945	2	5	5	5	0	0	0	1	0	1	1	0	2	0	0	0	0	1	0	1	1	0	2	0	0	0	0	1	0	1	1	0	2	0	0.0	0.0	0.0	12665.21	11582.901	12323.447	4791.5615	5510.3496	27900.188	12353.415	0.0	0.0	0.0	7205.509	11276.43	6846.349	4664.7817	7401.0615	15723.58	12026.557	
sp|A0A2Z4LIS9|FXO3B_HUMAN	A0A2Z4LIS9	FXO3B_HUMAN	FOXO3B	290	Homo sapiens	1:Experimental evidence at protein level	Forkhead box protein O3B	0.9716	0.999	1	2	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	357336.94	125996.375	156140.38	283373.12	216938.92	167650.34	200503.94	86096.48	176091.77	90819.63	357336.94	125996.375	156140.38	283373.12	216938.92	167650.34	200503.94	86096.48	176091.77	90819.63	sp|O43524|FOXO3_HUMAN
sp|A0A3B3IU46|RMACL_HUMAN	A0A3B3IU46	RMACL_HUMAN	RAMACL	118	Homo sapiens	1:Experimental evidence at protein level	RNA guanine-N7 methyltransferase-activating subunit-like protein	1.0	0.999	2	20	8	20	1	2	2	2	2	2	2	2	2	3	0	1	1	0	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	3	29241.828	36048.234	37250.977	41415.887	46437.938	50761.066	35732.72	34543.125	33752.016	35262.223	15847.325	19767.936	20502.0	18665.049	25367.504	21634.13	19455.11	18874.643	18598.988	16353.134	
sp|A0AVF1|IFT56_HUMAN	A0AVF1	IFT56_HUMAN	IFT56	554	Homo sapiens	1:Experimental evidence at protein level	Intraflagellar transport protein 56	0.9716	0.999	1	2	2	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0.0	11946.064	0.0	8889.958	0.0	0.0	6301.9004	9853.008	9033.702	0.0	0.0	11946.064	0.0	8889.958	0.0	0.0	6301.9004	9853.008	9033.702	0.0	
sp|A0AVT1|UBA6_HUMAN	A0AVT1	UBA6_HUMAN	UBA6	1052	Homo sapiens	1:Experimental evidence at protein level	Ubiquitin-like modifier-activating enzyme 6	1.0	0.999	25	310	310	310	28	39	27	33	29	32	36	26	26	34	28	39	27	33	29	32	36	26	26	34	28	39	27	33	29	32	36	26	26	34	1409414.9	1608064.8	1386701.9	1367037.0	1417269.6	1239872.9	1449066.6	1473401.1	1384790.8	1484180.0	305230.97	320061.22	298973.7	298481.3	287313.5	294739.44	308558.7	297536.22	322327.22	312889.72	
sp|A0FGR8|ESYT2_HUMAN	A0FGR8	ESYT2_HUMAN	ESYT2	921	Homo sapiens	1:Experimental evidence at protein level	Extended synaptotagmin-2	1.0	0.999	13	125	125	125	12	9	17	15	11	13	13	9	13	13	12	9	17	15	11	13	13	9	13	13	12	9	17	15	11	13	13	9	13	13	505728.97	408105.16	520710.88	634945.7	633042.3	387913.0	643129.1	531613.44	838715.4	677462.94	155490.73	167116.38	157199.58	154854.38	167570.78	146222.73	158572.9	154009.34	175839.27	153832.31	
sp|A0JLT2|MED19_HUMAN	A0JLT2	MED19_HUMAN	MED19	244	Homo sapiens	1:Experimental evidence at protein level	Mediator of RNA polymerase II transcription subunit 19	0.9468	0.9981	1	2	2	2	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	12112.953	12654.385	9304.236	0.0	15554.986	11267.598	7938.282	8185.581	0.0	6608.0537	12112.953	12654.385	9304.236	0.0	15554.986	11267.598	7938.282	8185.581	0.0	6608.0537	
sp|A0JNW5|BLT3B_HUMAN	A0JNW5	BLT3B_HUMAN	BLTP3B	1464	Homo sapiens	1:Experimental evidence at protein level	Bridge-like lipid transfer protein family member 3B	1.0	0.999	5	21	21	21	2	3	2	2	3	2	1	2	3	1	2	3	2	2	3	2	1	2	3	1	2	3	2	2	3	2	1	2	3	1	44693.17	17832.096	22613.936	26550.46	18736.246	16737.29	15402.478	45781.48	21176.498	22821.59	12409.737	12045.298	15411.26	18091.904	12008.686	11293.243	10161.823	13275.254	12071.597	12572.341	
sp|A0PJZ3|GXLT2_HUMAN	A0PJZ3	GXLT2_HUMAN	GXYLT2	443	Homo sapiens	1:Experimental evidence at protein level	Glucoside xylosyltransferase 2	0.9355	0.9976	1	7	7	7	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0	0	0	1	8701.641	9086.808	13134.343	12763.234	11691.51	7132.915	4402.981	0.0	0.0	7638.7773	8701.641	9086.808	13134.343	12763.234	11691.51	7132.915	4402.981	0.0	0.0	7638.7773	
sp|A1A4S6|RHG10_HUMAN	A1A4S6	RHG10_HUMAN	ARHGAP10	786	Homo sapiens	1:Experimental evidence at protein level	Rho GTPase-activating protein 10	1.0	0.999	3	25	25	25	1	4	3	1	3	2	2	3	2	4	1	4	3	1	3	2	2	3	2	4	1	4	3	1	3	2	2	3	2	4	58533.348	65295.555	55791.496	38927.895	57052.5	38310.586	44955.355	49668.496	57045.523	72177.8	27129.26	30905.299	25698.477	20853.488	25986.365	20907.434	20571.924	21219.15	25877.025	30489.254	
